pdbId	pubId	source	primary_citation
100D	PMC332097	PMC	yes
101D	7711020	PubMed	yes
102D	7608897	PubMed	yes
102L	8429913	PubMed	yes
103D	7966337	PubMed	yes
103L	8429913	PubMed	yes
104D	7857947	PubMed	yes
104L	8429913	PubMed	yes
105D	7743125	PubMed	yes
106D	7743125	PubMed	yes
107D	7731041	PubMed	yes
107L	8503008	PubMed	yes
108D	7612596	PubMed	yes
108L	8503008	PubMed	yes
109D	PMC307265	PMC	yes
109L	8503008	PubMed	yes
10GS	9398518	PubMed	yes
10MH	9925782	PubMed	yes
110D	15299505	PubMed	yes
110L	8503008	PubMed	yes
111D	2754734	PubMed	yes
111L	8503008	PubMed	yes
112D	PMC323305	PMC	yes
112L	8503008	PubMed	yes
113D	3611072	PubMed	yes
113L	8503008	PubMed	yes
114D	PMC306318	PMC	yes
114L	8503008	PubMed	yes
115D	3271041	PubMed	yes
115L	8503008	PubMed	yes
116D	1404387	PubMed	yes
117D	PMC334581	PMC	yes
117E	9878371	PubMed	yes
118D	1463751	PubMed	yes
118L	8218201	PubMed	yes
119D	8230199	PubMed	yes
119L	8218201	PubMed	yes
11AS	9437423	PubMed	yes
11BA	PMC2144088	PMC	yes
11BG	10543951	PubMed	yes
11GS	9426214	PubMed	yes
120L	8218201	PubMed	yes
121D	8395202	PubMed	yes
122D	15299506	PubMed	yes
122L	8218201	PubMed	yes
123D	15299506	PubMed	yes
123L	8218201	PubMed	yes
124D	8411159	PubMed	yes
125L	8218201	PubMed	yes
126D	PMC46210	PMC	yes
126L	8218201	PubMed	yes
127D	PMC556443	PMC	yes
127L	8218201	PubMed	yes
128D	PMC556443	PMC	yes
128L	8218201	PubMed	yes
129D	PMC556443	PMC	yes
129L	PMC2142314	PMC	yes
12AS	9437423	PubMed	yes
12CA	1910042	PubMed	yes
1.20E+09	10089402	PubMed	yes
12GS	10452896	PubMed	yes
130D	PMC556443	PMC	yes
130L	PMC2142314	PMC	yes
131D	8110738	PubMed	yes
131L	PMC2142314	PMC	yes
132D	1457407	PubMed	yes
132L	8373783	PubMed	yes
133D	PMC310526	PMC	yes
133L	8105095	PubMed	yes
134D	8069626	PubMed	yes
134L	8105095	PubMed	yes
135D	8069626	PubMed	yes
135L	15299509	PubMed	yes
136D	8069626	PubMed	yes
137D	8218212	PubMed	yes
137L	8503008	PubMed	yes
138D	8218212	PubMed	yes
138L	8177878	PubMed	yes
139D	8263919	PubMed	yes
139L	8177878	PubMed	yes
13GS	10452896	PubMed	yes
13PK	9000079	PubMed	yes
140D	8257678	PubMed	yes
140L	8259514	PubMed	yes
141D	8257678	PubMed	yes
141L	8259514	PubMed	yes
142D	8257678	PubMed	yes
142L	8259514	PubMed	yes
143D	8081740	PubMed	yes
143L	8259514	PubMed	yes
144D	8373768	PubMed	yes
144L	8259514	PubMed	yes
145D	8257675	PubMed	yes
145L	8259514	PubMed	yes
146D	8329387	PubMed	yes
146L	8259514	PubMed	yes
147L	8259514	PubMed	yes
148D	8107090	PubMed	yes
148L	8266098	PubMed	yes
149D	8075980	PubMed	yes
149L	PMC2142904	PMC	yes
14GS	9665696	PubMed	yes
150D	8161534	PubMed	yes
150L	PMC2142904	PMC	yes
151D	8142363	PubMed	yes
151L	PMC2142904	PMC	yes
152D	8142363	PubMed	yes
152L	PMC2142904	PMC	yes
153D	8142345	PubMed	yes
153L	7823320	PubMed	yes
154D	8142381	PubMed	yes
154L	7823320	PubMed	yes
155C	180013	PubMed	yes
155L	7869383	PubMed	yes
156D	8069635	PubMed	yes
156L	7869383	PubMed	yes
157D	7922026	PubMed	yes
157L	7869383	PubMed	yes
158D	8364037	PubMed	yes
158L	7869383	PubMed	yes
159D	7656035	PubMed	yes
159L	7869383	PubMed	yes
160D	8510155	PubMed	yes
160L	7869383	PubMed	yes
161D	7508984	PubMed	yes
161L	7869383	PubMed	yes
162L	7869383	PubMed	yes
163L	7869383	PubMed	yes
164L	7869383	PubMed	yes
165D	PMC43744	PMC	yes
165L	7869383	PubMed	yes
166D	7813486	PubMed	yes
166L	7869383	PubMed	yes
167D	8196049	PubMed	yes
167L	7616572	PubMed	yes
168D	9383369	PubMed	yes
168L	7616572	PubMed	yes
169D	8064857	PubMed	yes
169L	7616572	PubMed	yes
16GS	9665696	PubMed	yes
16PK	9642090	PubMed	yes
16VP	PMC316849	PMC	yes
170D	7918360	PubMed	yes
170L	7616572	PubMed	yes
171D	7918360	PubMed	yes
171L	7616572	PubMed	yes
172L	7616572	PubMed	yes
173L	7616572	PubMed	yes
174L	7616572	PubMed	yes
175D	8064859	PubMed	yes
175L	7616572	PubMed	yes
176D	7519361	PubMed	yes
176L	7616572	PubMed	yes
177D	8057381	PubMed	yes
177L	7616572	PubMed	yes
178D	8068665	PubMed	yes
178L	7616572	PubMed	yes
179D	7932707	PubMed	yes
17RA	9753434	PubMed	yes
180D	7760333	PubMed	yes
180L	7616572	PubMed	yes
181D	7760333	PubMed	yes
181L	7612599	PubMed	yes
182D	7819233	PubMed	yes
182L	7612599	PubMed	yes
183D	PMC42691	PMC	yes
183L	7612599	PubMed	yes
184D	7613864	PubMed	yes
184L	7612599	PubMed	yes
185D	7918461	PubMed	yes
185L	7612599	PubMed	yes
186D	7704525	PubMed	yes
186L	7612599	PubMed	yes
187D	7752232	PubMed	yes
187L	7612599	PubMed	yes
188D	7752232	PubMed	yes
188L	7612599	PubMed	yes
189D	7752232	PubMed	yes
189L	8771182	PubMed	yes
18GS	10452896	PubMed	yes
190D	7947764	PubMed	yes
190L	12487988	PubMed	yes
1914	PMC1169999	PMC	yes
191D	PMC45286	PMC	yes
191L	12487988	PubMed	yes
192D	7966274	PubMed	yes
192L	12487988	PubMed	yes
193D	7853395	PubMed	yes
193L	15299672	PubMed	yes
194D	15299320	PubMed	yes
194L	15299672	PubMed	yes
195D	15299320	PubMed	yes
195L	8676387	PubMed	yes
196D	7827018	PubMed	yes
196L	8676387	PubMed	yes
197D	8477741	PubMed	yes
197L	8676387	PubMed	yes
198D	PMC306926	PMC	yes
198L	8676387	PubMed	yes
199D	7707379	PubMed	yes
199L	8676387	PubMed	yes
19GS	10452896	PubMed	yes
19HC	10368280	PubMed	yes
1A00	9521756	PubMed	yes
1A01	9521756	PubMed	yes
1A02	9510247	PubMed	yes
1A03	9519412	PubMed	yes
1A04	9521685	PubMed	yes
1A05	9739088	PubMed	yes
1A06	8601311	PubMed	yes
1A07	9174343	PubMed	yes
1A08	9174343	PubMed	yes
1A09	9174343	PubMed	yes
1A0A	PMC1170095	PMC	yes
1A0B	9054511	PubMed	yes
1A0F	9680481	PubMed	yes
1A0G	9749913	PubMed	yes
1A0H	9438869	PubMed	yes
1A0I	8653795	PubMed	yes
1A0J	9757092	PubMed	yes
1A0K	9016723	PubMed	yes
1A0L	9521329	PubMed	yes
1A0M	9708977	PubMed	yes
1A0N	8961927	PubMed	yes
1A0O	9437425	PubMed	yes
1A0P	PMC1170150	PMC	yes
1A0Q	9753552	PubMed	yes
1A0R	9739091	PubMed	yes
1A0S	9437428	PubMed	yes
1A0T	9437428	PubMed	yes
1A0U	9521756	PubMed	yes
1A0Z	9521756	PubMed	yes
1A11	PMC3282055	PMC	yes
1A12	9510255	PubMed	yes
1A13	9537994	PubMed	yes
1A14	9642070	PubMed	yes
1A15	PMC22694	PMC	yes
1A16	PMC19860	PMC	yes
1A17	PMC1170467	PMC	yes
1A18	9680187	PubMed	yes
1A19	9578582	PubMed	yes
1A1A	9174343	PubMed	yes
1A1B	9174343	PubMed	yes
1A1C	9174343	PubMed	yes
1A1D	9461075	PubMed	yes
1A1E	9174343	PubMed	yes
1A1F	9562555	PubMed	yes
1A1G	9562555	PubMed	yes
1A1H	9562555	PubMed	yes
1A1I	9562555	PubMed	yes
1A1J	9562555	PubMed	yes
1A1K	9562555	PubMed	yes
1A1L	9562555	PubMed	yes
1A1M	8624812	PubMed	yes
1A1N	8624811	PubMed	yes
1A1O	8624812	PubMed	yes
1A1P	PMC2143948	PMC	yes
1A1Q	8861916	PubMed	yes
1A1R	8861917	PubMed	yes
1A1S	PMC19649	PMC	yes
1A1T	9430589	PubMed	yes
1A1U	PMC1326307	PMC	yes
1A1V	9493270	PubMed	yes
1A1W	9582077	PubMed	yes
1A1X	PMC19850	PMC	yes
1A1Z	9582077	PubMed	yes
1A21	PMC2144006	PMC	yes
1A22	9571026	PubMed	yes
1A23	9572841	PubMed	yes
1A24	9572841	PubMed	yes
1A25	9817842	PubMed	yes
1A26	9571033	PubMed	yes
1A28	9620806	PubMed	yes
1A29	9799490	PubMed	yes
1A2A	9733637	PubMed	yes
1A2B	9545299	PubMed	yes
1A2D	9680187	PubMed	yes
1A2E	PMC148391	PMC	yes
1A2I	9710542	PubMed	yes
1A2J	9655827	PubMed	yes
1A2K	9533885	PubMed	yes
1A2L	9655827	PubMed	yes
1A2M	9655827	PubMed	yes
1A2N	9485407	PubMed	yes
1A2O	PMC19010	PMC	yes
1A2P	10089345	PubMed	yes
1A2Q	2684274	PubMed	yes
1A2S	9538000	PubMed	yes
1A2T	PMC2143447	PMC	yes
1A2U	PMC2143447	PMC	yes
1A2V	15299901	PubMed	yes
1A2W	PMC19854	PMC	yes
1A2X	PMC20176	PMC	yes
1A2Y	9609690	PubMed	yes
1A2Z	10368293	PubMed	yes
1A30	9485357	PubMed	yes
1A31	9488644	PubMed	yes
1A32	9562554	PubMed	yes
1A33	PMC2144044	PMC	yes
1A34	9514737	PubMed	yes
1A35	9488644	PubMed	yes
1A36	9488652	PubMed	yes
1A37	9632691	PubMed	yes
1A38	9632691	PubMed	yes
1A39	9335168	PubMed	yes
1A3A	9551558	PubMed	yes
1A3B	9772168	PubMed	yes
1A3C	9551555	PubMed	yes
1A3D	9636712	PubMed	yes
1A3E	9772168	PubMed	yes
1A3F	9636712	PubMed	yes
1A3G	9163511	PubMed	yes
1A3H	9485319	PubMed	yes
1A3I	9677293	PubMed	yes
1A3J	9677293	PubMed	yes
1A3K	9582341	PubMed	yes
1A3L	9506943	PubMed	yes
1A3M	9514734	PubMed	yes
1A3N	10930827	PubMed	yes
1A3O	10930827	PubMed	yes
1A3P	PMC2144085	PMC	yes
1A3Q	PMC1170310	PMC	yes
1A3R	PMC395086	PMC	yes
1A3S	9757105	PubMed	yes
1A3T	PMC2143766	PMC	yes
