pdbId	structure	stoichiometry	symmetry
100D	bio	A	C1
200D	bio	A	C1
200L	bio	A	C1
300D	bio	A	C1
400D	bio	A	C1
101D	bio	A	C1
101M	bio	A	C1
201D	bio	A	C1
201L	bio	A	C1
301D	bio	A	C1
401D	bio	A	C1
102D	bio	A	C1
102L	bio	A	C1
102M	bio	A	C1
202D	bio	A	C1
302D	bio	A	C1
402D	bio	A	C1
103D	bio	A	C1
103L	bio	A	C1
103M	bio	A	C1
203D	bio	A	C1
303D	bio	A	C1
403D	bio	A	C1
104D	bio	A	C1
104L	bio	A	C1
104M	bio	A	C1
204D	bio	A	C1
304D	bio	A	C1
404D	bio	A	C1
105D	bio	A	C1
105M	bio	A	C1
205D	bio	A	C1
205L	bio	A	C1
305D	bio	A	C1
405D	bio	A	C1
106D	bio	A	C1
106M	bio	A	C1
206D	bio	A	C1
206L	bio	A	C1
306D	bio	A	C1
406D	bio	A	C1
107D	bio	A	C1
107L	bio	A	C1
107M	bio	A	C1
207D	bio	A	C1
207L	bio	A	C1
407D	bio	A	C1
108D	bio	A	C1
108L	bio	A	C1
108M	bio	A	C1
208D	bio	A	C1
208L	bio	A	C1
308D	bio	A	C1
408D	bio	A	C1
109D	bio	A	C1
109L	bio	A	C1
109M	bio	A	C1
209D	bio	A	C1
209L	bio	A	C1
309D	bio	A	C1
409D	bio	A	C1
10GS	bio	A2	C2
20GS	bio	A2	C2
10MH	bio	BCA	C1
110D	bio	A	C1
110L	bio	A	C1
110M	bio	A	C1
210D	bio	A	C1
210L	bio	A	C1
310D	bio	A	C1
410D	bio	A	C1
111D	bio	A	C1
111L	bio	A	C1
111M	bio	A	C1
211D	bio	A	C1
211L	bio	A	C1
311D	bio	A	C1
411D	bio	A	C1
112D	bio	A	C1
112L	bio	A	C1
112M	bio	A	C1
212D	bio	A	C1
212L	bio	A	C1
312D	bio	A	C1
412D	bio	A	C1
113D	bio	A	C1
113L	bio	A	C1
213D	bio	A	C1
213L	bio	A	C1
313D	bio	A	C1
413D	bio	A	C1
114D	bio	A	C1
114L	bio	A	C1
214D	bio	A	C1
214L	bio	A	C1
314D	bio	A	C1
414D	bio	A	C1
115D	bio	A	C1
115L	bio	A	C1
215D	bio	A	C1
215L	bio	A	C1
315D	bio	A	C1
116D	bio	A	C1
216D	bio	A	C1
216L	bio	A	C1
117D	bio	A	C1
117E	bio	A2	C2
217D	bio	A	C1
217L	bio	A	C1
317D	bio	A	C1
417D	bio	A	C1
118D	bio	A	C1
118L	bio	A	C1
218D	bio	A	C1
218L	bio	A	C1
318D	bio	A	C1
418D	bio	A	C1
119D	bio	A	C1
119L	bio	A	C1
219D	bio	A	C1
219L	bio	A	C1
319D	bio	A	C1
419D	bio	A	C1
11AS	bio	A2	C2
11BA	bio	A2	C2
11BG	bio	A2	C2
21BI	bio	A	C1
31BI	bio	A	C1
41BI	bio	A	C1
11GS	bio	A2	C2
120L	bio	A	C1
220D	bio	A	C1
220L	bio	A	C1
320D	bio	A	C1
420D	bio	A	C1
121D	bio	A	C1
121P	bio	A	C1
221D	bio	A	C1
221L	bio	A	C1
221P	bio	A	C1
321D	bio	A	C1
421D	bio	A	C1
421P	bio	A	C1
521P	bio	A	C1
122D	bio	A	C1
122L	bio	A	C1
222D	bio	A	C1
222L	bio	A	C1
322D	bio	A	C1
422D	bio	A	C1
123D	bio	A	C1
123L	bio	A	C1
223D	bio	A	C1
223L	bio	A	C1
323D	bio	A	C1
423D	bio	A	C1
124D	bio	A	C1
224D	bio	A	C1
224L	bio	A	C1
324D	bio	A	C1
